Roll No.,Professional Elective 1,Professional Elective 2,Core Section
2205314,,,CSE-12
2205315,,,CSE-04
2205316,,,CSE-29
2205317,,,CSE-42
2205318,,,CSE-54
2205319,,,CSE-50
2205320,,,CSE-11
2205321,,,CSE-47
2205322,,,CSE-50
2205323,,,CSE-04
2205324,,,CSE-04
2205325,,,CSE-23
2205326,,,CSE-08
2205327,,,CSE-13
2205328,,,CSE-12
2205330,,,CSE-37
2205331,,,CSE-51
2205332,,,CSE-53
2205333,,,CSE-49
2205334,,,CSE-37
2205335,,,CSE-04
2205336,,,CSE-22
2205337,,,CSE-23
2205338,,,CSE-40
2205339,,,CSE-30
2205340,,,CSE-41
2205341,,,CSE-50
2205342,,,CSE-18
2205343,,,CSE-17
2205344,,,CSE-50
2205345,,,CSE-23
2205347,,,CSE-07
2205348,,,CSE-11
2205349,,,CSE-09
2205350,,,CSE-18
2205352,,,CSE-20
2205353,,,CSE-54
2205354,,,CSE-53
2205355,,,CSE-41
2205356,,,CSE-01
2205357,,,CSE-38
2205358,,,CSE-16
2205360,,,CSE-19
2205361,,,CSE-42
2205362,,,CSE-02
2205363,,,CSE-50
2205364,,,CSE-12
2205365,,,CSE-25
2205366,,,CSE-12
2205367,,,CSE-01
2205368,,,CSE-10
2205370,,,CSE-41
2205371,,,CSE-10
2205372,,,CSE-50
2205373,,,CSE-31
2205374,,,CSE-41
2205375,,,CSE-54
2205376,,,CSE-38
2205378,,,CSE-38
2205379,,,CSE-22
2205381,,,CSE-41
2205382,,,CSE-55
2205383,,,CSE-26
2205384,,,CSE-19
2205386,,,CSE-19
2205387,,,CSE-18
2205388,,,CSE-54
2205389,,,CSE-07
2205390,,,CSE-12
2205391,,,CSE-41
2205392,,,CSE-31
2205393,,,CSE-36
2205394,,,CSE-27
2205395,,,CSE-12
2205397,,,CSE-37
2205398,,,CSE-12
2205399,,,CSE-12
2205401,,,CSE-03
2205402,,,CSE-48
2205403,,,CSE-54
2205405,,,CSE-12
2205406,,,CSE-14
2205407,,,CSE-27
2205408,,,CSE-53
2205409,,,CSE-35
2205410,,,CSE-53
2205411,,,CSE-42
2205412,,,CSE-02
2205413,,,CSE-08
2205414,,,CSE-50
2205415,,,CSE-12
2205416,,,CSE-08
2205417,,,CSE-54
2205418,,,CSE-54
2205419,,,CSE-42
2205420,,,CSE-48
2205421,,,CSE-37
2205422,,,CSE-48
2205423,,,CSE-37
2205424,,,CSE-20
2205425,,,CSE-37
2205426,,,CSE-41
2205428,,,CSE-15
2205429,,,CSE-37
2205430,,,CSE-32
2205431,,,CSE-09
2205432,,,CSE-20
2205433,,,CSE-11
2205434,,,CSE-37
2205436,,,CSE-19
2205437,,,CSE-19
2205438,,,CSE-04
2205439,,,CSE-48
2205440,,,CSE-35
2205441,,,CSE-45
2205442,,,CSE-53
2205443,,,CSE-24
2205444,,,CSE-46
2205445,,,CSE-38
2205446,,,CSE-42
2205447,,,CSE-32
2205448,,,CSE-46
2205449,,,CSE-50
2205450,,,CSE-31
2205451,,,CSE-04
2205452,,,CSE-05
2205453,,,CSE-10
2205454,,,CSE-46
2205455,,,CSE-10
2205456,,,CSE-36
2205458,,,CSE-18
2205459,,,CSE-04
2205460,,,CSE-16
2205462,,,CSE-18
2205463,,,CSE-50
2205464,,,CSE-48
2205465,,,CSE-19
2205466,,,CSE-42
2205467,,,CSE-46
2205468,,,CSE-31
2205469,,,CSE-04
2205470,,,CSE-03
2205471,,,CSE-47
2205472,,,CSE-19
2205473,,,CSE-46
2205474,,,CSE-27
2205476,,,CSE-06
2205478,,,CSE-12
2205480,,,CSE-47
2205481,,,CSE-19
2205483,,,CSE-51
2205484,,,CSE-12
2205485,,,CSE-13
2205486,,,CSE-50
2205487,,,CSE-12
2205488,,,CSE-43
2205489,,,CSE-13
2205490,,,CSE-48
2205491,,,CSE-36
2205492,,,CSE-50
2205493,,,CSE-27
2205494,,,CSE-31
2205495,,,CSE-13
2205496,,,CSE-31
2205497,,,CSE-17
2205498,,,CSE-03
2205499,,,CSE-12
2205500,,,CSE-48
2205501,,,CSE-02
2205502,,,CSE-03
2205503,,,CSE-03
2205504,,,CSE-27
2205505,,,CSE-50
2205506,,,CSE-43
2205508,,,CSE-05
2205509,,,CSE-47
2205510,,,CSE-46
2205511,,,CSE-50
2205512,,,CSE-03
2205513,,,CSE-16
2205514,,,CSE-38
2205515,,,CSE-06
2205516,,,CSE-05
2205517,,,CSE-06
2205518,,,CSE-20
2205519,,,CSE-54
2205520,,,CSE-20
2205521,,,CSE-03
2205522,,,CSE-02
2205523,,,CSE-53
2205524,,,CSE-49
2205525,,,CSE-50
2205526,,,CSE-05
2205527,,,CSE-54
2205528,,,CSE-47
2205529,,,CSE-47
2205531,,,CSE-25
2205532,,,CSE-36
2205533,,,CSE-16
2205534,,,CSE-49
2205535,,,CSE-35
2205536,,,CSE-05
2205537,,,CSE-20
2205538,,,CSE-34
2205539,,,CSE-13
2205540,,,CSE-01
2205541,,,CSE-53
2205542,,,CSE-33
2205543,,,CSE-19
2205544,,,CSE-04
2205545,,,CSE-08
2205546,,,CSE-37
2205548,,,CSE-53
2205549,,,CSE-03
2205550,,,CSE-43
2205551,,,CSE-48
2205552,,,CSE-53
2205553,,,CSE-50
2205554,,,CSE-11
2205555,,,CSE-06
2205556,,,CSE-46
2205557,,,CSE-16
2205558,,,CSE-46
2205560,,,CSE-14
2205561,,,CSE-12
2205562,,,CSE-07
2205563,,,CSE-43
2205564,,,CSE-39
2205565,,,CSE-55
2205566,,,CSE-35
2205567,,,CSE-06
2205568,,,CSE-16
2205569,,,CSE-16
2205570,,,CSE-29
2205571,,,CSE-07
2205572,,,CSE-05
2205573,,,CSE-04
2205574,,,CSE-40
2205575,,,CSE-31
2205576,,,CSE-04
2205577,,,CSE-11
2205578,,,CSE-55
2205579,,,CSE-20
2205580,,,CSE-04
2205581,,,CSE-35
2205582,,,CSE-02
2205584,,,CSE-02
2205585,,,CSE-27
2205586,,,CSE-07
2205587,,,CSE-38
2205588,,,CSE-23
2205589,,,CSE-07
2205590,,,CSE-47
2205591,,,CSE-05
2205592,,,CSE-34
2205593,,,CSE-41
2205594,,,CSE-49
2205595,,,CSE-47
2205596,,,CSE-12
2205597,,,CSE-48
2205598,,,CSE-46
2205599,,,CSE-40
2205600,,,CSE-17
2205601,,,CSE-06
2205602,,,CSE-04
2205603,,,CSE-51
2205604,,,CSE-17
2205605,,,CSE-04
2205606,,,CSE-45
2205607,,,CSE-35
2205609,,,CSE-24
2205610,,,CSE-25
2205611,,,CSE-26
2205612,,,CSE-21
2205614,,,CSE-32
2205615,,,CSE-28
2205616,,,CSE-03
2205617,,,CSE-21
2205618,,,CSE-16
2205619,,,CSE-29
2205620,,,CSE-20
2205621,,,CSE-50
2205622,,,CSE-06
2205623,,,CSE-20
2205624,,,CSE-48
2205625,,,CSE-53
2205626,,,CSE-28
2205627,,,CSE-50
2205628,,,CSE-44
2205629,,,CSE-04
2205630,,,CSE-03
2205631,,,CSE-28
2205632,,,CSE-25
2205634,,,CSE-06
2205635,,,CSE-53
2205636,,,CSE-44
2205637,,,CSE-44
2205638,,,CSE-03
2205639,,,CSE-53
2205640,,,CSE-48
2205641,,,CSE-20
2205642,,,CSE-35
2205643,,,CSE-48
2205645,,,CSE-06
2205646,,,CSE-53
2205647,,,CSE-52
2205648,,,CSE-35
2205649,,,CSE-34
2205651,,,CSE-46
2205652,,,CSE-46
2205653,,,CSE-44
2205655,,,CSE-50
2205658,,,CSE-06
2205659,,,CSE-38
2205660,,,CSE-47
2205661,,,CSE-44
2205662,,,CSE-55
2205663,,,CSE-50
2205664,,,CSE-44
2205665,,,CSE-55
2205666,,,CSE-33
2205667,,,CSE-13
2205668,,,CSE-46
2205669,,,CSE-53
2205670,,,CSE-13
2205671,,,CSE-23
2205672,,,CSE-19
2205673,,,CSE-03
2205674,,,CSE-53
2205675,,,CSE-53
2205676,,,CSE-50
2205678,,,CSE-33
2205679,,,CSE-03
2205680,,,CSE-31
2205681,,,CSE-34
2205682,,,CSE-03
2205683,,,CSE-53
2205684,,,CSE-03
2205685,,,CSE-50
2205686,,,CSE-52
2205687,,,CSE-34
2205688,,,CSE-27
2205689,,,CSE-45
2205690,,,CSE-27
2205691,,,CSE-03
2205693,,,CSE-23
2205694,,,CSE-20
2205695,,,CSE-36
2205696,,,CSE-49
2205697,,,CSE-51
2205698,,,CSE-25
2205699,,,CSE-05
2205700,,,CSE-06
