Roll Number,Professional Elective 1,Professional Elective 2,Core Section
2205586,,,CSE-07
2205587,,,CSE-38
2205588,,,CSE-23
2205589,,,CSE-07
2205590,,,CSE-47
2205591,,,CSE-05
2205592,,,CSE-34
2205593,,,CSE-41
2205594,,,CSE-49
2205595,,,CSE-47
2205596,,,CSE-12
2205597,,,CSE-48
2205598,,,CSE-46
2205599,,,CSE-40
2205600,,,CSE-17
2205601,,,CSE-06
2205602,,,CSE-04
2205603,,,CSE-51
2205604,,,CSE-17
2205605,,,CSE-04
2205606,,,CSE-45
2205607,,,CSE-35
2205609,,,CSE-24
2205610,,,CSE-25
2205611,,,CSE-26
2205612,,,CSE-21
2205614,,,CSE-32
2205615,,,CSE-28
2205616,,,CSE-03
2205617,,,CSE-21
2205618,,,CSE-16
2205619,,,CSE-29
2205620,,,CSE-20
2205621,,,CSE-50
2205622,,,CSE-06
2205623,,,CSE-20
2205624,,,CSE-48
2205625,,,CSE-53
2205626,,,CSE-28
2205627,,,CSE-50
2205628,,,CSE-44
2205629,,,CSE-04
2205630,,,CSE-03
2205631,,,CSE-28
2205632,,,CSE-25
2205634,,,CSE-06
2205635,,,CSE-53
2205636,,,CSE-44
2205637,,,CSE-44
2205638,,,CSE-03
2205639,,,CSE-53
2205640,,,CSE-48
2205641,,,CSE-20
2205642,,,CSE-35
2205643,,,CSE-48
2205645,,,CSE-06
2205646,,,CSE-53
2205647,,,CSE-52
2205648,,,CSE-35
2205649,,,CSE-34
2205651,,,CSE-46
2205652,,,CSE-46
2205653,,,CSE-44
2205655,,,CSE-50
2205658,,,CSE-06
2205659,,,CSE-38
2205660,,,CSE-47
2205661,,,CSE-44
2205662,,,CSE-55
2205663,,,CSE-50
2205664,,,CSE-44
2205665,,,CSE-55
2205666,,,CSE-33
2205667,,,CSE-13
2205668,,,CSE-46
2205669,,,CSE-53
2205670,,,CSE-13
2205671,,,CSE-23
2205672,,,CSE-19
2205673,,,CSE-03
2205674,,,CSE-53
2205675,,,CSE-53
2205676,,,CSE-50
